Unnamed: 0,AUS/US,EU/US,NZD/US,UK/US,BRZ/US,CND/US,CHN/US,HNGK/US,INDIA/US,KOR/US,MEX/US,AFR/US,SNG/US,DNM/US,JPN/US,MLY/US,NOR/US,SWD/US,SRLNK/US,SWTZ/US,TIWN/US,THAI/US,UK_pct,UK_CDF,AUS_pct,AUS_CDF
4786,1.3432,0.843,1.436,0.7396,3.585,1.2967,6.369,7.8494,67.12,1078.35,19.611,12.6275,1.3405,6.2775,109.16,3.948,8.1388,8.8136,157.45,1.0016,29.8,31.95,0.33916700583367376,26.884067532238397,1.0912922405358572,3.38730261705108
4787,1.3412,0.8437,1.4314,0.7371,3.5965,1.2852,6.3585,7.8498,67.25,1078.22,19.5165,12.59,1.344,6.2838,109.68,3.948,8.0832,8.7044,157.85,1.0042,29.92,32.07,-0.3380205516495427,26.546046980588855,-0.14889815366289083,3.238404463388189
4788,1.3307,0.8406,1.4397,0.7415,3.5554,1.2787,6.344,7.8497,67.24,1065.41,19.302,12.3375,1.3394,6.2615,109.53,3.948,8.0206,8.6631,157.7,1.0036,29.75,31.98,0.5969339302672738,27.142980910856128,-0.7828810020876764,2.455523461300513
4789,1.3256,0.8368,1.4347,0.7381,3.5879,1.2781,6.3333,7.8498,67.28,1067.14,19.365,12.275,1.3354,6.2337,109.26,3.948,7.9948,8.5912,157.7,0.9996,29.77,31.88,-0.4585300067430964,26.68445090411303,-0.383256932441578,2.072266528858935
4790,1.3238,0.835,1.4418,0.7356,3.6212,1.2761,6.336,7.8494,67.55,1068.83,19.5085,12.265,1.3326,6.2202,109.52,3.948,7.9914,8.6003,157.95,0.9976,29.77,31.83,-0.3387074922097222,26.34574341190331,-0.13578756789376367,1.9364789609651711
4791,1.3374,0.8429,1.4541,0.7401,3.6659,1.2868,6.376,7.8497,68.07,1076.46,19.716,12.545,1.343,6.2773,110.25,3.954,8.0953,8.6668,158.0,0.9998,29.89,32.12,0.6117455138662242,26.957488925769535,1.0273455204713677,2.963824481436539
4792,1.3326,0.8483,1.4503,0.7419,3.68,1.2828,6.3706,7.8499,67.77,1076.66,19.73,12.4375,1.3411,6.3186,110.22,3.965,8.0946,8.6664,158.0,1.0004,29.87,32.06,0.2432103769760774,27.200699302745612,-0.35890533871690833,2.6049191427196305
4793,1.3319,0.8476,1.4541,0.7404,3.7073,1.2815,6.3645,7.8496,67.76,1082.37,19.74,12.58,1.3423,6.3125,110.76,3.967,8.1234,8.7446,157.7,1.0014,29.93,32.11,-0.202183582693094,26.998515720052517,-0.05252889088998014,2.5523902518296504
4794,1.3314,0.8493,1.4468,0.7421,3.7438,1.2892,6.3768,7.8498,68.04,1080.91,19.932,12.72,1.3429,6.3236,110.71,3.97,8.1132,8.7504,157.65,0.997,29.95,32.18,0.22960561858456074,27.228121338637077,-0.03754035588258153,2.514849895947069
4795,1.3219,0.8498,1.443,0.7453,3.7096,1.2835,6.3815,7.849,68.11,1079.33,19.887,12.7,1.3426,6.3279,111.08,3.978,8.0722,8.7015,157.7,0.9978,29.98,32.17,0.43120873197681764,27.659330070613894,-0.7135346252065355,1.8013152707405333
4796,1.3167,0.8487,1.4407,0.7438,3.6367,1.2775,6.366,7.8495,68.04,1073.3,19.714,12.525,1.3378,6.3203,110.94,3.9655,8.0358,8.6708,157.8,0.9924,29.84,31.98,-0.20126123708572585,27.458068833528166,-0.3933731749754199,1.4079420957651134
4797,1.3273,0.8552,1.4503,0.7496,3.6411,1.2882,6.3875,7.8496,68.38,1078.88,19.773,12.535,1.3451,6.3704,110.05,3.98,8.1085,8.7691,157.75,0.9952,29.98,32.15,0.7797795106211369,28.237848344149302,0.805042910306053,2.2129850060711664
4798,1.3215,0.8526,1.4455,0.7472,3.6402,1.2907,6.3757,7.8477,68.32,1082.77,19.7175,12.4375,1.3399,6.3509,109.3,3.979,8.0859,8.7539,157.9,0.9916,29.97,32.01,-0.32017075773747017,27.917677586411834,-0.4369773223837914,1.776007683687375
4799,1.3231,0.8572,1.4447,0.7507,3.6586,1.2972,6.3903,7.8456,67.78,1076.35,19.544,12.4575,1.3409,6.3844,109.35,3.979,8.1478,8.7432,157.9,0.9912,29.94,31.9,0.46841541755888727,28.38609300397072,0.12107453651153399,1.897082220198909
4801,1.3308,0.8657,1.4461,0.7543,3.7283,1.3027,6.4162,7.8455,67.78,1082.59,19.736,12.6275,1.3468,6.4428,108.62,3.98,8.2907,8.9564,157.85,0.9924,30.09,32.1,0.47955241774342294,28.865645421714145,0.5819665936059204,2.4790488138048294
4802,1.3203,0.8573,1.4298,0.7521,3.7389,1.2842,6.4175,7.8476,67.46,1077.62,19.7,12.515,1.3387,6.3818,109.04,3.987,8.173,8.8025,158.0,0.989,29.97,32.02,-0.29166114278138533,28.57398427893276,-0.7889990982867467,1.6900497155180827
4803,1.321,0.8569,1.4278,0.7525,3.7262,1.297,6.4096,7.8439,67.4,1080.75,20.0005,12.6825,1.3389,6.3778,108.73,3.978,8.1849,8.8233,158.15,0.9844,29.99,32.06,0.053184416965823544,28.627168695898582,0.05301825342725053,1.7430679689453332
4804,1.3217,0.8562,1.4312,0.7486,3.755,1.2948,6.418,7.8454,66.99,1071.27,19.8585,12.64,1.3379,6.3732,109.49,3.977,8.1646,8.8205,158.55,0.9867,29.82,32.02,-0.5182724252491555,28.108896270649428,0.05299015897048953,1.7960581279158228
